,index,Geslacht,Persoonskenmerken,RegioS,RegioNaam,Perioden,Personen_1,aantal_persoonlijk_inkomen,AandeelPersonen_3,Gem_standaardiseerd_besteedbaar_inkomen,Mediaan_standaardiseerd_besteedbaar_inkomen,GemiddeldPersoonlijkInkomen_6,MediaanPersoonlijkInkomen_7
0,19,Man,15_tot_25,GM0484,Alphen aan den Rijn,2020,6700,6000,12,38800,35400,14200,8800
1,83,Man,15_tot_25,GM0377,Bloemendaal,2020,1300,1000,12,0,47300,0,3600
2,223,Man,15_tot_25,GM0392,Haarlem,2020,8200,7300,11,35100,31900,12100,7200
3,225,Man,15_tot_25,GM0394,Haarlemmermeer,2020,10100,9000,13,41300,36500,12300,7000
4,241,Man,15_tot_25,GM0397,Heemstede,2020,1300,1100,10,0,42000,0,4000
5,273,Man,15_tot_25,GM0534,Hillegom,2020,1200,1100,11,0,35200,0,8400
6,301,Man,15_tot_25,GM1884,Kaag en Braassem,2020,1700,1500,12,0,38500,0,10200
7,307,Man,15_tot_25,GM0537,Katwijk,2020,4200,3900,13,41900,37200,15600,10300
8,333,Man,15_tot_25,GM0546,Leiden,2020,9100,7600,15,24200,20900,11000,6500
9,335,Man,15_tot_25,GM0547,Leiderdorp,2020,1600,1400,13,0,36300,0,6400
10,337,Man,15_tot_25,GM1916,Leidschendam-Voorburg,2020,3600,3100,10,39100,34200,10800,6000
11,347,Man,15_tot_25,GM0553,Lisse,2020,1300,1200,12,0,36000,0,7800
12,415,Man,15_tot_25,GM0575,Noordwijk,2020,2600,2400,12,43700,36300,0,7800
13,421,Man,15_tot_25,GM0579,Oegstgeest,2020,1400,1100,12,0,40100,0,4500
14,557,Man,15_tot_25,GM1525,Teylingen,2020,2400,2200,13,0,38200,0,6600
15,631,Man,15_tot_25,GM0629,Wassenaar,2020,1500,1000,12,0,36700,0,4200
16,681,Man,15_tot_25,GM0473,Zandvoort,2020,800,800,10,0,0,0,0
17,691,Man,15_tot_25,GM0638,Zoeterwoude,2020,500,400,12,0,0,0,0
18,723,Man,25_tot_45,GM0484,Alphen aan den Rijn,2020,13600,13400,25,35300,33200,47700,42600
19,787,Man,25_tot_45,GM0377,Bloemendaal,2020,1600,1500,14,0,43300,0,58000
20,927,Man,25_tot_45,GM0392,Haarlem,2020,23200,22800,30,37400,34700,51700,43500
21,929,Man,25_tot_45,GM0394,Haarlemmermeer,2020,17700,17400,23,37500,35200,51000,44800
22,945,Man,25_tot_45,GM0397,Heemstede,2020,2300,2200,18,0,41500,0,56100
23,977,Man,25_tot_45,GM0534,Hillegom,2020,2600,2600,24,34700,33000,46600,41900
24,1005,Man,25_tot_45,GM1884,Kaag en Braassem,2020,3000,3000,22,37700,35000,49500,44400
25,1011,Man,25_tot_45,GM0537,Katwijk,2020,8100,8000,25,35500,33300,50800,46000
26,1037,Man,25_tot_45,GM0546,Leiden,2020,18000,17500,31,34300,32000,46000,40900
27,1039,Man,25_tot_45,GM0547,Leiderdorp,2020,2700,2700,21,37400,35500,50400,45700
28,1041,Man,25_tot_45,GM1916,Leidschendam-Voorburg,2020,8800,8600,24,38700,36000,54600,46000
29,1051,Man,25_tot_45,GM0553,Lisse,2020,2500,2400,22,35600,33900,0,43200
30,1119,Man,25_tot_45,GM0575,Noordwijk,2020,4800,4700,23,37500,33200,49100,41400
31,1125,Man,25_tot_45,GM0579,Oegstgeest,2020,2600,2500,22,42500,38800,63100,51300
32,1261,Man,25_tot_45,GM1525,Teylingen,2020,4000,4000,22,38700,35200,51800,45100
33,1335,Man,25_tot_45,GM0629,Wassenaar,2020,1900,1800,16,0,36100,0,46000
34,1385,Man,25_tot_45,GM0473,Zandvoort,2020,1600,1600,20,0,32400,0,37000
35,1395,Man,25_tot_45,GM0638,Zoeterwoude,2020,800,800,20,0,0,0,0
36,1427,Man,45_tot_65,GM0484,Alphen aan den Rijn,2020,15600,15400,28,41100,37100,59800,50800
37,1491,Man,45_tot_65,GM0377,Bloemendaal,2020,3400,3300,30,77700,48200,114300,74100
38,1631,Man,45_tot_65,GM0392,Haarlem,2020,21100,20600,27,41900,35500,58600,46500
39,1633,Man,45_tot_65,GM0394,Haarlemmermeer,2020,23100,22800,30,44200,38700,64200,53200
40,1649,Man,45_tot_65,GM0397,Heemstede,2020,3600,3500,29,59200,46000,98700,69200
41,1681,Man,45_tot_65,GM0534,Hillegom,2020,3200,3100,29,40900,36300,58500,49200
42,1709,Man,45_tot_65,GM1884,Kaag en Braassem,2020,4100,4100,30,45100,38300,60100,50100
43,1715,Man,45_tot_65,GM0537,Katwijk,2020,8600,8500,27,40400,36400,58200,51000
44,1741,Man,45_tot_65,GM0546,Leiden,2020,14800,14400,25,40500,35400,59100,47300
45,1743,Man,45_tot_65,GM0547,Leiderdorp,2020,3800,3700,29,42800,38500,65300,54500
46,1745,Man,45_tot_65,GM1916,Leidschendam-Voorburg,2020,9900,9600,27,44400,38200,66000,52200
47,1755,Man,45_tot_65,GM0553,Lisse,2020,3300,3200,29,42200,36600,61200,50000
48,1823,Man,45_tot_65,GM0575,Noordwijk,2020,6100,6000,29,48500,37800,64400,50700
49,1829,Man,45_tot_65,GM0579,Oegstgeest,2020,3400,3300,29,54100,43700,90100,67600
50,1965,Man,45_tot_65,GM1525,Teylingen,2020,5500,5500,30,46800,39400,71600,55800
51,2039,Man,45_tot_65,GM0629,Wassenaar,2020,3700,3500,31,78800,43100,131500,66800
52,2089,Man,45_tot_65,GM0473,Zandvoort,2020,2500,2400,31,49300,35200,0,44600
53,2099,Man,45_tot_65,GM0638,Zoeterwoude,2020,1300,1300,31,0,40200,0,51200
54,2131,Man,65_en_ouder,GM0484,Alphen aan den Rijn,2020,9800,9800,18,34900,29300,36600,30300
55,2195,Man,65_en_ouder,GM0377,Bloemendaal,2020,2700,2700,24,56700,38800,56100,41200
56,2335,Man,65_en_ouder,GM0392,Haarlem,2020,11900,11900,15,31900,28000,33900,27400
57,2337,Man,65_en_ouder,GM0394,Haarlemmermeer,2020,12300,12300,16,34100,30200,36300,30400
58,2353,Man,65_en_ouder,GM0397,Heemstede,2020,3000,3000,24,42700,35800,47100,36800
59,2385,Man,65_en_ouder,GM0534,Hillegom,2020,2100,2100,19,0,28300,0,28300
60,2413,Man,65_en_ouder,GM1884,Kaag en Braassem,2020,2800,2800,20,35100,28500,34500,27700
61,2419,Man,65_en_ouder,GM0537,Katwijk,2020,5300,5300,16,31300,27000,32200,26700
62,2445,Man,65_en_ouder,GM0546,Leiden,2020,8800,8800,15,32800,28200,35500,27800
63,2447,Man,65_en_ouder,GM0547,Leiderdorp,2020,2700,2700,21,34300,30700,39500,32100
64,2449,Man,65_en_ouder,GM1916,Leidschendam-Voorburg,2020,7600,7600,21,35400,30400,38600,31400
65,2459,Man,65_en_ouder,GM0553,Lisse,2020,2400,2400,21,0,27700,0,27500
66,2527,Man,65_en_ouder,GM0575,Noordwijk,2020,4400,4400,21,38300,29200,37600,28100
67,2533,Man,65_en_ouder,GM0579,Oegstgeest,2020,2200,2200,18,0,36500,0,41200
68,2669,Man,65_en_ouder,GM1525,Teylingen,2020,3300,3300,18,37300,30600,40500,30600
69,2743,Man,65_en_ouder,GM0629,Wassenaar,2020,2900,2900,24,53800,34900,59200,38000
70,2793,Man,65_en_ouder,GM0473,Zandvoort,2020,2000,2000,25,0,29000,0,27500
71,2803,Man,65_en_ouder,GM0638,Zoeterwoude,2020,800,800,20,0,0,0,0
72,2835,Vrouw,15_tot_25,GM0484,Alphen aan den Rijn,2020,6400,5900,12,37600,34800,11600,7600
73,2899,Vrouw,15_tot_25,GM0377,Bloemendaal,2020,1200,1000,11,0,44200,0,3100
74,3039,Vrouw,15_tot_25,GM0392,Haarlem,2020,8200,7300,10,34500,30400,11700,7600
75,3041,Vrouw,15_tot_25,GM0394,Haarlemmermeer,2020,9200,8400,12,39200,35600,10400,6600
76,3057,Vrouw,15_tot_25,GM0397,Heemstede,2020,1200,1000,8,0,41800,0,3900
77,3089,Vrouw,15_tot_25,GM0534,Hillegom,2020,1100,1000,10,0,34700,0,8600
78,3117,Vrouw,15_tot_25,GM1884,Kaag en Braassem,2020,1500,1400,11,0,36100,0,7600
79,3123,Vrouw,15_tot_25,GM0537,Katwijk,2020,3900,3700,12,39500,36000,13600,9200
80,3149,Vrouw,15_tot_25,GM0546,Leiden,2020,11700,10300,19,20000,15100,10400,6500
81,3151,Vrouw,15_tot_25,GM0547,Leiderdorp,2020,1400,1200,10,0,34500,0,5600
82,3153,Vrouw,15_tot_25,GM1916,Leidschendam-Voorburg,2020,3400,2900,9,38600,33400,10300,5800
83,3163,Vrouw,15_tot_25,GM0553,Lisse,2020,1200,1200,11,0,35700,0,8000
84,3231,Vrouw,15_tot_25,GM0575,Noordwijk,2020,2200,2100,11,0,35000,0,7200
85,3237,Vrouw,15_tot_25,GM0579,Oegstgeest,2020,1300,1000,10,0,37900,0,4100
86,3373,Vrouw,15_tot_25,GM1525,Teylingen,2020,2200,2000,12,0,37100,0,6600
87,3447,Vrouw,15_tot_25,GM0629,Wassenaar,2020,1400,1000,11,0,37800,0,4100
88,3497,Vrouw,15_tot_25,GM0473,Zandvoort,2020,800,700,9,0,0,0,0
89,3507,Vrouw,15_tot_25,GM0638,Zoeterwoude,2020,500,400,11,0,0,0,0
90,3539,Vrouw,25_tot_45,GM0484,Alphen aan den Rijn,2020,13500,12900,25,34400,32300,32200,29000
91,3603,Vrouw,25_tot_45,GM0377,Bloemendaal,2020,1800,1700,15,0,43300,0,37500
92,3743,Vrouw,25_tot_45,GM0392,Haarlem,2020,23800,22500,29,36600,33700,38800,34600
93,3745,Vrouw,25_tot_45,GM0394,Haarlemmermeer,2020,18500,17400,24,36800,34000,35500,31300
94,3761,Vrouw,25_tot_45,GM0397,Heemstede,2020,2500,2300,18,47300,41700,0,38700
95,3793,Vrouw,25_tot_45,GM0534,Hillegom,2020,2600,2600,24,33800,32100,32200,29400
96,3821,Vrouw,25_tot_45,GM1884,Kaag en Braassem,2020,2900,2800,22,36600,33600,33500,29800
97,3827,Vrouw,25_tot_45,GM0537,Katwijk,2020,8000,7600,25,34100,31900,28500,26000
98,3853,Vrouw,25_tot_45,GM0546,Leiden,2020,17700,16800,29,34100,31300,37100,34300
99,3855,Vrouw,25_tot_45,GM0547,Leiderdorp,2020,2900,2800,21,36600,34900,36700,33600
100,3857,Vrouw,25_tot_45,GM1916,Leidschendam-Voorburg,2020,9400,8700,24,37700,34700,40100,35300
101,3867,Vrouw,25_tot_45,GM0553,Lisse,2020,2500,2400,22,34900,32900,0,29400
102,3935,Vrouw,25_tot_45,GM0575,Noordwijk,2020,4700,4500,22,36900,32600,33400,29200
103,3941,Vrouw,25_tot_45,GM0579,Oegstgeest,2020,2700,2600,22,42800,38500,46600,39400
104,4077,Vrouw,25_tot_45,GM1525,Teylingen,2020,4100,4000,22,37300,34200,35500,31800
105,4151,Vrouw,25_tot_45,GM0629,Wassenaar,2020,2200,1900,16,0,35400,0,32900
106,4201,Vrouw,25_tot_45,GM0473,Zandvoort,2020,1800,1700,21,0,30500,0,28200
107,4211,Vrouw,25_tot_45,GM0638,Zoeterwoude,2020,900,900,22,0,0,0,0
108,4243,Vrouw,45_tot_65,GM0484,Alphen aan den Rijn,2020,15500,13900,28,40000,35900,33800,28600
109,4307,Vrouw,45_tot_65,GM0377,Bloemendaal,2020,3600,3100,31,74900,45400,52100,37000
110,4447,Vrouw,45_tot_65,GM0392,Haarlem,2020,21600,20000,27,40100,34200,38900,31700
111,4449,Vrouw,45_tot_65,GM0394,Haarlemmermeer,2020,23200,21300,30,42400,37500,37300,31000
112,4465,Vrouw,45_tot_65,GM0397,Heemstede,2020,3900,3500,28,53600,42400,48300,37400
113,4497,Vrouw,45_tot_65,GM0534,Hillegom,2020,3200,2900,29,39200,34900,33100,28100
114,4525,Vrouw,45_tot_65,GM1884,Kaag en Braassem,2020,4100,3700,31,43200,37500,33900,27800
115,4531,Vrouw,45_tot_65,GM0537,Katwijk,2020,8600,7300,26,39100,35300,27700,23000
116,4557,Vrouw,45_tot_65,GM0546,Leiden,2020,15000,13700,24,38500,34000,39400,31600
117,4559,Vrouw,45_tot_65,GM0547,Leiderdorp,2020,4000,3600,29,41200,37100,37600,31000
118,4561,Vrouw,45_tot_65,GM1916,Leidschendam-Voorburg,2020,10700,9700,28,41600,36000,40900,33600
119,4571,Vrouw,45_tot_65,GM0553,Lisse,2020,3400,3100,29,40400,35200,31500,27000
120,4639,Vrouw,45_tot_65,GM0575,Noordwijk,2020,6400,5800,30,46000,36000,35000,28400
121,4645,Vrouw,45_tot_65,GM0579,Oegstgeest,2020,3600,3200,29,51500,41300,48900,38900
122,4781,Vrouw,45_tot_65,GM1525,Teylingen,2020,5600,5100,31,45600,38300,36300,30000
123,4855,Vrouw,45_tot_65,GM0629,Wassenaar,2020,4100,3300,30,70500,39200,53500,32300
124,4905,Vrouw,45_tot_65,GM0473,Zandvoort,2020,2600,2400,30,44300,33000,0,27800
125,4915,Vrouw,45_tot_65,GM0638,Zoeterwoude,2020,1300,1200,30,0,39000,0,29600
126,4947,Vrouw,65_en_ouder,GM0484,Alphen aan den Rijn,2020,11000,10900,20,31500,26600,20400,16800
127,5011,Vrouw,65_en_ouder,GM0377,Bloemendaal,2020,3100,3100,27,49600,35500,26700,19800
128,5151,Vrouw,65_en_ouder,GM0392,Haarlem,2020,14600,14600,18,28500,25200,22800,19200
129,5153,Vrouw,65_en_ouder,GM0394,Haarlemmermeer,2020,13500,13400,17,30500,27100,21400,17300
130,5169,Vrouw,65_en_ouder,GM0397,Heemstede,2020,4000,4000,29,37200,31700,26900,20800
131,5201,Vrouw,65_en_ouder,GM0534,Hillegom,2020,2300,2300,21,0,26100,0,17000
132,5229,Vrouw,65_en_ouder,GM1884,Kaag en Braassem,2020,2800,2800,21,31300,26400,19200,16000
133,5235,Vrouw,65_en_ouder,GM0537,Katwijk,2020,6100,6100,19,29100,25100,18600,16000
134,5261,Vrouw,65_en_ouder,GM0546,Leiden,2020,9800,9800,16,29800,25400,23000,18400
135,5263,Vrouw,65_en_ouder,GM0547,Leiderdorp,2020,3400,3400,25,31200,28300,23300,19100
136,5265,Vrouw,65_en_ouder,GM1916,Leidschendam-Voorburg,2020,9300,9300,24,31300,27100,23900,19500
137,5275,Vrouw,65_en_ouder,GM0553,Lisse,2020,2700,2700,24,31100,25400,20400,17000
138,5343,Vrouw,65_en_ouder,GM0575,Noordwijk,2020,4800,4700,22,34200,26900,21000,16700
139,5349,Vrouw,65_en_ouder,GM0579,Oegstgeest,2020,2700,2700,22,38700,33600,27300,21100
140,5485,Vrouw,65_en_ouder,GM1525,Teylingen,2020,3600,3600,20,33300,27700,21400,17100
141,5559,Vrouw,65_en_ouder,GM0629,Wassenaar,2020,3500,3500,26,46000,31100,27800,18400
142,5609,Vrouw,65_en_ouder,GM0473,Zandvoort,2020,2400,2400,27,0,26200,0,18000
143,5619,Vrouw,65_en_ouder,GM0638,Zoeterwoude,2020,900,900,21,0,0,0,0
